symbol,min_score,max_move_pct,notes
CLH,0.75,3,
CLIK,0.75,3,
CLMB,0.75,3,
CLPT,0.75,3,
CLRO,0.75,3,
CLS,0.75,3,
CMI,0.75,3,
CMT,0.75,3,
CNEY,0.75,3,
CNI,0.75,3,
CNM,0.75,3,
CNQ,0.75,3,
CNR,0.75,3,
CNXN,0.75,3,
COCO,0.75,3,
COHR,0.75,3,
COHU,0.75,3,
COKE,0.75,3,
COLM,0.75,3,
COO,0.75,3,
COP,0.75,3,
COPR,0.75,3,
COR,0.75,3,
CORT,0.75,3,
CP,0.75,3,
CPHI,0.75,3,
CPIX,0.75,3,
CPNG,0.75,3,
CPRT,0.75,3,
CPSH,0.75,3,
CRC,0.75,3,
CRDO,0.75,3,
CRH,0.75,3,
CRIS,0.75,3,
CRL,0.75,3,
CRM,0.75,3,
CRML,0.75,3,
CROX,0.75,3,
CRS,0.75,3,
CRSR,0.75,3,
CRT,0.75,3,
CRUS,0.75,3,
CRVL,0.75,3,
CRVS,0.75,3,
CRWD,0.75,3,
CSBR,0.75,3,
CSCO,0.75,3,
CSL,0.75,3,
CSW,0.75,3,
CSX,0.75,3,
CTAS,0.75,3,
CTM,0.75,3,
CTS,0.75,3,
CTSH,0.75,3,
CTVA,0.75,3,
CUE,0.75,3,
CV,0.75,3,
CVCO,0.75,3,
CVE,0.75,3,
CVLG,0.75,3,
CVLT,0.75,3,
CVNA,0.75,3,
CVR,0.75,3,
CVSA,0.75,3,
CVX,0.75,3,
CWCO,0.75,3,
CWST,0.75,3,
CXDO,0.75,3,
DAIO,0.75,3,
DAKT,0.75,3,
DASH,0.75,3,
DCBO,0.75,3,
DCI,0.75,3,
DCTH,0.75,3,
DCX,0.75,3,
DD,0.75,3,
DDS,0.75,3,
DECK,0.75,3,
DELL,0.75,3,
DERM,0.75,3,
DFIN,0.75,3,
DGII,0.75,3,
DGX,0.75,3,
DHI,0.75,3,
DHR,0.75,3,
DHT,0.75,3,
DHX,0.75,3,
DINO,0.75,3,
DIOD,0.75,3,
DKI,0.75,3,
DLB,0.75,3,
DLO,0.75,3,
DLR,0.75,3,
DLXY,0.75,3,
DMLP,0.75,3,
